"№ п/п","Назва комунальних підприємств, установ закладів","Код ЕДРПОУ","Юридична адреса","телефон","Керівник","е-mail",""
"1.","Департамент житлово-комунального господарства виконавчого комітету Кременчуцької міської ради: ","03365860","пл. Перемоги, 2","73-12-75
","Директор Москалик Іван Володимирович","ugkgkremen@ukr.net",""
"1. 1","Комунальне госпрозрахункове житлово-експлуатаційне підприємство «Автозаводське»","25165297","вул. 1905 року, 32","3-10-02 ","директор Кійло Оксана Іванівна","25165297@mail.gov.ua",""
"1. 2","Комунальна установа  «Кременчуцька рятувально-водолазна станція» (в стані припинення з 28.10.2019)","31493569","вул. Першотравнева, 4-А","3-11-07","директор Білоус Василь Миколайович","kremrvs@ukr.net",""
"1. 3","Комунальне підприємство «Теплоенерго»","31700972","вул.  Софіївська, 68","75-87-22  ","директор Одношевний Віталій Миколайович","office@kremenchuk-teplo.org.ua",""
"1. 4","Комунальне підприємство  «Кременчуцьке підрядне спеціалізоване шляхове ремонтно-будівельне управління»","03332033","вул. Махоркова,35","74-28-09","Директор Кірєєв Валерій Валентинович","srbu14@ukr.net",""
"1. 5","Кременчуцьке комунальне автотранспортне підприємство  1628","03351898","вул. Горького, 48/75","75-85-45","Директор Шиян Сергій Олексійович ","office@katp1628.com",""
"1. 6","Комунальне підприємство «Міськсвітло» Кременчуцької  міської  ради","03338136","проспект Свободи, 150","(068) 256-85-99","директор Антіпов Олексій Володимирович ","kremsvitlo@ukr.net",""
"1. 7","Комунальне підприємство  «Кременчукводоканал» Кременчуцької міської ради","03361655","пров. Героїв Бреста, 35-А"," ","Директор Солодяшкін Віктор Іванович ","gpub@sat.poltava.ua",""
"1. 8","Комунальне підприємство «Спеціалізований комбінат ритуальних послуг» ","13966170","вул. Махоркова, 31","74-03-52","директор Прихнич Олег Миколайович ","kp_skrp2017@ukr.net",""
"1. 9","Комунальне госпрозрахункове підприємство «Союзрембуд»","03332139","вул. Лейтенанта Покладова, 18","74-07-40","Генеральний директор Дяковський Олександр Вікторович ","soyuzrembud@gmail.com",""
"1. 10","Комунальне підприємство  «Благоустрій Кременчука»","03351958","вул. 1905 року, 27","3-41-24","Генеральний  директор Василенко Віктор Васильович","kp03351958@ukr.net",""
"1. 11","Комунальне підприємство  «Спеціалізована монтажно-експлуатаційна дільниця»","32079113","проїзд.40-річчя ДАІ, 1В (За даними офіційного порталу Державної фіскальної служби України – відсутність юридичної особи за зареєстрованим місцезнаходженням)","5-16-81
","Директор Тарануха Віра Іванівна","-",""
"1. 12","Комунальне підприємство  «Спецсервіс - Кременчук»","32275620","вул. Горького, 48/75","74-12-61 ","Директор Бардаков  Віктор Борисович","spetsservis-krem@i.ua",""
